Episode 3362, Reward: -34.24, Step: 21898
Episode 3363, Reward: -33.02, Step: 21905
Episode 3364, Reward: -32.92, Step: 21910
Episode 3365, Reward: -32.54, Step: 21916
Episode 3366, Reward: -28.18, Step: 21928
Episode 3367, Reward: -30.75, Step: 21935
Episode 3368, Reward: -33.05, Step: 21942
Episode 3369, Reward: -32.77, Step: 21949
Episode 3370, Reward: -32.19, Step: 21955
Episode 3371, Reward: -36.16, Step: 21960
Episode 3372, Reward: -34.54, Step: 21966
Episode 3373, Reward: -32.59, Step: 21973
Episode 3374, Reward: -32.27, Step: 21984
Episode 3375, Reward: -53.14, Step: 22001
Episode 3376, Reward: -42.31, Step: 22010
Episode 3377, Reward: -34.54, Step: 22019
Episode 3378, Reward: -32.61, Step: 22030
Episode 3379, Reward: -54.74, Step: 22037
Episode 3380, Reward: -31.03, Step: 22047
Episode 3381, Reward: -35.35, Step: 22053
Episode 3382, Reward: -34.61, Step: 22067
Episode 3383, Reward: -32.92, Step: 22073
Episode 3384, Reward: -51.67, Step: 22086
Episode 3385, Reward: -30.73, Step: 22093
Episode 3386, Reward: -46.42, Step: 22102
Episode 3387, Reward: -33.29, Step: 22108
Episode 3388, Reward: -31.61, Step: 22114
Episode 3389, Reward: -36.19, Step: 22120
Episode 3390, Reward: -27.58, Step: 22132
Episode 3391, Reward: -33.29, Step: 22144
Episode 3392, Reward: -29.24, Step: 22153
Episode 3393, Reward: -32.23, Step: 22161
Episode 3394, Reward: -31.98, Step: 22170
Episode 3395, Reward: -34.46, Step: 22177
Episode 3396, Reward: -29.71, Step: 22185
Episode 3397, Reward: -29.77, Step: 22194
Episode 3398, Reward: -34.10, Step: 22200
Episode 3399, Reward: -35.32, Step: 22206
Episode 3400, Reward: -30.15, Step: 22217
Episode 3401, Reward: -32.76, Step: 22224
Episode 3402, Reward: -28.76, Step: 22240
Episode 3403, Reward: -31.01, Step: 22248
Episode 3404, Reward: -31.21, Step: 22258
Episode 3405, Reward: -31.26, Step: 22265
Episode 3406, Reward: -31.97, Step: 22271
Episode 3407, Reward: -30.62, Step: 22280
Episode 3408, Reward: -29.33, Step: 22289
